# This file resumes the FWHM of all the central models without dust 
# Angles to take into account theta = 0, 36.87, 53.13, 66.42, 78.46, 90
# if there is a * the width is taken from the center at X_{m}=0
#Model    PeakHalfHeight     FWHM    theta

505t    0.057252             3.89       0
1005t   0.044905             5.58       0
2005t   0.033458             6.7*       0
3005t   0.027950             7.43*      0
505t    0.056431             4.02       36.87
1005t   0.043515             6.06*      36.87
2005t   0.032686             6.86*      36.87 
3005t   0.027089             7.58*      36.87
505t                         4.13       53.13
1005t   0.042422             6.13*      53.13
2005t   0.031604             6.96*      53.13
3005t   0.0257               8.03*      53.13
505t    0.054                4.205      66.42
1005t   0.0413               6.214*     66.42
2005t   0.0305               7.1825*    66.42 
3005t   0.0245               8.48*      66.42
505t    0.0537               4.32       78.46 
1005t   0.0404               6.281*     78.46
2005t   0.0299               7.34*      78.46
3005t   0.0241               8.74*      78.46
505t    0.053                4.40       90
1005t   0.04                 6.32*      90
2005t   0.028                7.71*      90
3005t   0.0237               8.89*      90
506t    0.036                6.318      0 
1006t   0.029                7.660      0
2006t   0.0205               12.42*     0
3006t   0.01657              13.9*      0
506t    0.03569              6.454      36.87
1006t   0.02896              8.1443     36.87  
2006t   0.01937              19.37*     36.87	
3006t   0.01586              14.23*     36.87
506t    0.03531              6.492      53.13
1006t   0.02714              8.512      53.13
2006t   0.01827              13.1882    53.13
3006t   0.0154145            14.5541    53.13
506t    0.03483              6.58846    66.42
1006t   0.02626              8.94731    66.42
2006t   0.01758              13.5282*   66.42
3006t   0.01533              14.8299*   66.42
506t    0.03470              6.58846    78.46
1006t   0.02616              9.07573    78.46
2006t   0.01717              13.8299*   78.46
3006t   0.01541              14.8299*   78.46
506t    0.03454              6.54993    90
1006t   0.02608              9.20416    90
2006t   0.01712              13.8903*   90
3006t   0.01498              15.1748*   90
507t    0.01873              12.5698    0   
1007t   0.017099             14.19884   0
2007t   0.01381              16.9835    0
3007t   0.011243             24.62*     0
507t    0.01859              12.72464   36.87
1007t   0.016772             14.43      36.87
2007t   0.0132124            18.01799   36.87
3007t   0.010399             25.5554*   36.87
507t    0.018566             12.80224   53.13
1007t   0.016544             14.6644    53.13
2007t   0.01291              18.70766   53.13
3007t   0.00993              26.176*    53.13
507t    0.01847              12.87984   66.42
1007t   0.016395             14.6644    66.42
2007t   0.0125273            19.65604   66.42
3007t   0.0951               26.90*     66.42
507t    0.01853              12.72464   78.46
1007t   0.01629              14.81958   78.46
2007t   0.01230              20.8629    78.46
3007t   0.009339             27.4176*   78.46
507t    0.0184498            12.8022    90
1007t   0.016219             14.8195    90
2007t   0.01214175           21.293     90
3007t   0.0090956            27.7279*   90






