#this data is from the ipnb direccional2 with modelDustsum(0)/modelsum(0) for theta = 0
#model     DustsumS(0)            sumS(0)         EF 
300t7hom   13986.58              50217.2961    0.27816   
200t7hom   12610.04              49692.84      0.25375
1007t7hom  11572.38              49774.254     0.23249
50t7hom    11432.05              50066.20      0.22833
300t6hom   19959                 50523.40      0.39504
200t6hom   18013.70              50337.34      0.35785
100t6hom   15588.129             50075.94      0.31128
50t6hom    14548.277             50129.94      0.29021
300t5hom   18687                 50048.3289    0.37337
200t5hom   17925                 50078.695     0.35793
100t5hom   15527                 50114.11      0.30983
50t5hom    13293                 49939.53      0.26618
  
